Threads,Dim,Version,Sym,Trans,SpeedupSym,SpeedupTrans,EfficencySym,EfficencyTrans,Weak Scaling
57,16,OMP,0.0009938,3.00E-05,1.61E-03,3.33E-02,2.82E-03,5.85E-02,
58,16,OMP,0.0012146,2.88E-05,1.32E-03,3.47E-02,2.27E-03,5.99E-02,
59,16,OMP,0.001195,3.90E-05,1.34E-03,2.56E-02,2.27E-03,4.35E-02,
60,16,OMP,0.0012804,3.42E-05,1.25E-03,2.92E-02,2.08E-03,4.87E-02,
61,16,OMP,0.0011596,3.68E-05,1.38E-03,2.72E-02,2.26E-03,4.45E-02,
62,16,OMP,0.001174,2.92E-05,1.36E-03,3.42E-02,2.20E-03,5.52E-02,
63,16,OMP,0.0011832,4.44E-05,1.35E-03,2.25E-02,2.15E-03,3.58E-02,
64,16,OMP,0.0013304,3.22E-05,1.20E-03,3.11E-02,1.88E-03,4.85E-02,
65,16,OMP,0.0011524,4.42E-05,1.39E-03,2.26E-02,2.14E-03,3.48E-02,
66,16,OMP,0.0012026,5.78E-05,1.33E-03,1.73E-02,2.02E-03,2.62E-02,
67,16,OMP,0.0013706,3.58E-05,1.17E-03,2.79E-02,1.74E-03,4.17E-02,
68,16,OMP,0.0012442,3.74E-05,1.29E-03,2.67E-02,1.89E-03,3.93E-02,
69,16,OMP,0.0013684,5.12E-05,1.17E-03,1.95E-02,1.69E-03,2.83E-02,
70,16,OMP,0.0014628,4.62E-05,1.09E-03,2.16E-02,1.56E-03,3.09E-02,
71,16,OMP,0.0012756,3.50E-05,1.25E-03,2.86E-02,1.77E-03,4.02E-02,
72,16,OMP,0.0014078,7.28E-05,1.14E-03,1.37E-02,1.58E-03,1.91E-02,
73,16,OMP,0.0013508,3.70E-05,1.18E-03,2.70E-02,1.62E-03,3.70E-02,
74,16,OMP,0.0014106,4.38E-05,1.13E-03,2.28E-02,1.53E-03,3.09E-02,
75,16,OMP,0.0015966,3.94E-05,1.00E-03,2.54E-02,1.34E-03,3.38E-02,
76,16,OMP,0.001384,3.60E-05,1.16E-03,2.78E-02,1.52E-03,3.65E-02,
77,16,OMP,0.0013876,4.14E-05,1.15E-03,2.42E-02,1.50E-03,3.14E-02,
78,16,OMP,0.0014926,5.26E-05,1.07E-03,1.90E-02,1.37E-03,2.44E-02,
79,16,OMP,0.0017002,5.22E-05,9.41E-04,1.92E-02,1.19E-03,2.42E-02,
80,16,OMP,0.001407,4.82E-05,1.14E-03,2.07E-02,1.42E-03,2.59E-02,
