Threads,Dim,Version,Sym,Trans,SpeedupSym,SpeedupTrans,EfficencySym,EfficencyTrans
66,16,OMP,0.0011114,3.96E-05,1.98E-03,2.53E-02,3.00E-03,3.83E-02
67,16,OMP,0.0012284,3.98E-05,1.79E-03,2.51E-02,2.67E-03,3.75E-02
68,16,OMP,0.0011592,4.06E-05,1.90E-03,2.46E-02,2.79E-03,3.62E-02
69,16,OMP,0.0012186,3.48E-05,1.81E-03,2.87E-02,2.62E-03,4.16E-02
70,16,OMP,0.0012222,4.00E-05,1.80E-03,2.50E-02,2.57E-03,3.57E-02
71,16,OMP,0.001253,4.22E-05,1.76E-03,2.37E-02,2.47E-03,3.34E-02
72,16,OMP,0.0012838,4.20E-05,1.71E-03,2.38E-02,2.38E-03,3.31E-02
73,16,OMP,0.0013318,4.52E-05,1.65E-03,2.21E-02,2.26E-03,3.03E-02
74,16,OMP,0.0013302,4.32E-05,1.65E-03,2.31E-02,2.23E-03,3.13E-02
75,16,OMP,0.0013812,4.16E-05,1.59E-03,2.40E-02,2.12E-03,3.21E-02
76,16,OMP,0.0013782,4.84E-05,1.60E-03,2.07E-02,2.10E-03,2.72E-02
77,16,OMP,0.0013728,4.24E-05,1.60E-03,2.36E-02,2.08E-03,3.06E-02
78,16,OMP,0.0016294,4.28E-05,1.35E-03,2.34E-02,1.73E-03,3.00E-02
79,16,OMP,0.001497,4.46E-05,1.47E-03,2.24E-02,1.86E-03,2.84E-02
80,16,OMP,0.0014374,5.88E-05,1.53E-03,1.70E-02,1.91E-03,2.13E-02
81,16,OMP,0.001464,4.86E-05,1.50E-03,2.06E-02,1.86E-03,2.54E-02
82,16,OMP,0.0014428,4.48E-05,1.52E-03,2.23E-02,1.86E-03,2.72E-02
83,16,OMP,0.0015162,5.04E-05,1.45E-03,1.98E-02,1.75E-03,2.39E-02
84,16,OMP,0.0016004,5.10E-05,1.37E-03,1.96E-02,1.64E-03,2.33E-02
85,16,OMP,0.0016292,4.98E-05,1.35E-03,2.01E-02,1.59E-03,2.36E-02
86,16,OMP,0.0032182,5.80E-05,6.84E-04,1.72E-02,7.95E-04,2.00E-02
